Fecha,R1,R2,R3,R4
16/05/1990 00:00,40.3,18.7,28.2,13.1
16/06/1990 00:00,61.1,23.1,71.9,38.9
16/07/1990 00:00,12.8,10.7,11.0,3.4
16/08/1990 00:00,22.9,12.1,27.1,29.4
16/09/1990 00:00,52.5,12.8,40.6,27.8
16/10/1990 00:00,140.0,63.5,80.4,54.9
16/11/1990 00:00,108.2,92.0,100.7,67.4
16/12/1990 00:00,120.3,110.0,75.6,82.1
16/01/1991 00:00,54.8,65.5,56.1,60.0
16/02/1991 00:00,83.2,62.3,56.3,38.2
16/03/1991 00:00,158.7,103.2,114.3,51.1
16/04/1991 00:00,45.1,60.9,41.7,15.7
16/05/1991 00:00,47.0,14.5,24.6,11.3
16/06/1991 00:00,20.6,14.5,18.0,17.1
16/07/1991 00:00,5.1,6.4,3.0,0.7
16/08/1991 00:00,0.3,7.0,2.0,2.0
16/09/1991 00:00,55.9,11.9,43.6,20.8
16/10/1991 00:00,46.0,29.1,38.6,31.4
16/11/1991 00:00,80.7,48.4,39.8,32.7
16/12/1991 00:00,59.2,29.5,30.0,27.1
16/01/1992 00:00,63.6,53.1,59.7,25.3
16/02/1992 00:00,87.3,53.7,74.7,46.9
16/03/1992 00:00,82.8,72.3,69.3,25.4
16/04/1992 00:00,47.8,28.7,25.8,7.0
16/05/1992 00:00,2.8,5.6,3.0,0.1
16/06/1992 00:00,23.9,19.9,16.3,7.3
16/07/1992 00:00,8.3,20.5,6.7,1.7
16/08/1992 00:00,14.8,15.1,21.3,11.0
16/09/1992 00:00,32.3,11.2,23.9,7.4
16/10/1992 00:00,76.7,49.2,52.8,21.2
16/11/1992 00:00,56.6,34.1,36.6,31.0
16/12/1992 00:00,61.2,42.3,38.2,24.9
16/01/1993 00:00,164.6,146.4,113.8,76.4
16/02/1993 00:00,169.3,156.4,115.8,67.5
16/03/1993 00:00,120.9,120.8,86.3,43.3
16/04/1993 00:00,97.7,112.9,59.2,30.4
16/05/1993 00:00,42.5,33.2,19.8,16.9
16/06/1993 00:00,5.6,9.9,2.1,5.3
16/07/1993 00:00,17.0,12.3,11.7,7.3
16/08/1993 00:00,7.0,15.2,15.4,30.2
16/09/1993 00:00,68.1,37.9,43.0,23.9
16/10/1993 00:00,83.8,72.9,70.2,29.5
16/11/1993 00:00,178.8,120.8,121.4,59.0
16/12/1993 00:00,122.4,166.0,114.2,97.2
16/01/1994 00:00,147.6,147.8,126.3,76.6
16/02/1994 00:00,152.7,189.2,125.1,91.7
16/03/1994 00:00,134.5,171.3,106.7,66.8
16/04/1994 00:00,105.3,118.8,64.0,35.7
16/05/1994 00:00,31.6,27.5,15.7,8.7
16/06/1994 00:00,2.3,4.5,3.8,3.4
16/07/1994 00:00,8.4,4.6,0.9,0.1
16/08/1994 00:00,7.3,5.7,6.0,2.7
16/09/1994 00:00,45.4,34.6,22.1,12.6
16/10/1994 00:00,64.0,46.1,57.2,27.5
16/11/1994 00:00,67.8,56.1,54.8,38.6
16/12/1994 00:00,107.3,89.0,92.8,61.6
16/01/1995 00:00,82.5,143.5,74.8,75.8
16/02/1995 00:00,100.0,114.7,109.2,98.0
16/03/1995 00:00,173.8,140.3,128.0,71.0
16/04/1995 00:00,51.5,67.2,39.6,20.8
16/05/1995 00:00,32.1,9.3,11.4,13.7
16/06/1995 00:00,3.6,2.4,3.7,7.6
16/07/1995 00:00,13.6,2.8,9.2,10.9
16/08/1995 00:00,7.5,4.0,7.7,2.4
16/09/1995 00:00,34.3,36.8,31.6,20.3
16/10/1995 00:00,51.6,65.1,43.8,28.2
16/11/1995 00:00,92.8,85.4,67.8,65.6
16/12/1995 00:00,86.8,68.5,95.1,72.2
16/01/1996 00:00,113.5,149.9,97.2,80.2
16/02/1996 00:00,108.1,168.8,114.5,109.4
16/03/1996 00:00,115.6,135.9,105.7,94.1
16/04/1996 00:00,84.9,79.5,44.0,36.2
16/05/1996 00:00,31.8,38.1,6.7,4.9
16/06/1996 00:00,4.4,0.2,1.2,0.5
16/07/1996 00:00,0.6,2.0,1.8,0.5
16/08/1996 00:00,11.4,21.1,11.7,4.9
16/09/1996 00:00,37.1,32.6,22.0,26.8
16/10/1996 00:00,83.6,55.4,54.7,36.6
16/11/1996 00:00,59.1,50.8,52.5,53.9
16/12/1996 00:00,114.1,94.9,101.3,70.0
16/01/1997 00:00,98.5,161.6,127.1,92.1
16/02/1997 00:00,144.4,145.5,129.0,93.9
16/03/1997 00:00,99.8,65.6,86.2,79.5
16/04/1997 00:00,54.0,48.9,45.7,35.5
16/05/1997 00:00,25.4,17.3,14.6,11.9
16/06/1997 00:00,4.3,1.7,2.1,1.8
16/07/1997 00:00,8.5,3.4,2.8,1.9
16/08/1997 00:00,33.6,39.7,19.4,17.3
16/09/1997 00:00,59.0,58.3,42.6,34.5
16/10/1997 00:00,77.2,59.1,35.1,34.2
16/11/1997 00:00,87.0,101.3,73.3,62.8
16/12/1997 00:00,100.9,137.3,104.1,53.2
16/01/1998 00:00,137.6,179.3,127.5,75.2
16/02/1998 00:00,162.1,140.5,106.4,83.3
16/03/1998 00:00,104.8,131.3,98.7,74.0
16/04/1998 00:00,70.8,67.3,51.0,12.6
16/05/1998 00:00,12.7,8.7,5.1,2.1
16/06/1998 00:00,6.5,13.6,7.4,5.4
16/07/1998 00:00,0.1,0.0,1.2,1.8
16/08/1998 00:00,11.4,9.4,15.0,5.1
16/09/1998 00:00,36.9,23.9,15.5,5.2
16/10/1998 00:00,137.6,68.0,101.0,57.7
16/11/1998 00:00,75.3,75.1,62.0,34.7
16/12/1998 00:00,66.9,91.2,88.8,92.6
16/01/1999 00:00,115.4,116.7,116.9,83.2
16/02/1999 00:00,155.8,165.5,134.2,108.9
16/03/1999 00:00,121.0,125.3,91.3,68.4
16/04/1999 00:00,79.9,102.2,65.6,34.8
16/05/1999 00:00,35.8,43.1,11.5,9.2
16/06/1999 00:00,23.9,7.0,9.8,1.2
16/07/1999 00:00,15.8,10.5,7.8,12.4
16/08/1999 00:00,6.2,3.0,5.0,1.5
16/09/1999 00:00,77.8,36.8,50.5,41.2
16/10/1999 00:00,51.8,76.3,48.7,27.6
16/11/1999 00:00,63.0,49.4,67.4,46.4
16/12/1999 00:00,121.4,109.6,79.3,67.0
16/01/2000 00:00,156.3,188.0,126.5,121.6
16/02/2000 00:00,137.8,201.9,146.5,118.0
16/03/2000 00:00,143.3,159.6,118.0,88.6
16/04/2000 00:00,40.3,50.5,29.1,23.0
16/05/2000 00:00,42.8,26.3,21.1,25.4
16/06/2000 00:00,7.8,10.0,9.0,6.1
16/07/2000 00:00,22.6,22.1,14.0,7.6
16/08/2000 00:00,32.2,24.8,18.5,9.6
16/09/2000 00:00,12.8,16.7,24.4,15.8
16/10/2000 00:00,85.2,93.2,77.4,43.9
16/11/2000 00:00,57.3,48.3,23.9,37.1
16/12/2000 00:00,116.4,115.1,85.9,56.6
16/01/2001 00:00,153.2,189.2,156.8,141.9
16/02/2001 00:00,102.7,124.7,109.1,71.1
16/03/2001 00:00,131.7,165.9,131.8,97.3
16/04/2001 00:00,45.8,59.9,36.1,28.1
16/05/2001 00:00,42.0,29.7,29.8,34.6
16/06/2001 00:00,11.7,4.4,6.4,1.4
16/07/2001 00:00,26.2,13.2,24.9,25.0
16/08/2001 00:00,9.4,12.6,7.8,14.5
16/09/2001 00:00,43.0,40.3,35.2,22.4
16/10/2001 00:00,75.1,51.8,67.0,58.8
16/11/2001 00:00,96.1,85.0,63.5,49.8
16/12/2001 00:00,120.9,86.7,90.4,65.4
16/01/2002 00:00,51.8,95.7,61.2,40.7
16/02/2002 00:00,127.4,160.2,142.4,142.3
16/03/2002 00:00,136.9,156.6,110.2,76.9
16/04/2002 00:00,66.9,67.3,43.2,32.7
16/05/2002 00:00,30.3,26.3,18.4,8.7
16/06/2002 00:00,5.8,7.8,4.0,5.9
16/07/2002 00:00,29.1,23.3,33.4,29.7
16/08/2002 00:00,15.2,13.2,12.6,23.3
16/09/2002 00:00,39.4,46.0,49.3,40.8
16/10/2002 00:00,115.6,86.8,80.6,53.3
16/11/2002 00:00,93.2,97.3,83.4,67.1
16/12/2002 00:00,115.2,122.4,119.5,71.7
16/01/2003 00:00,101.9,123.2,104.3,62.7
16/02/2003 00:00,110.3,167.7,109.7,94.2
16/03/2003 00:00,155.4,157.2,137.7,120.3
16/04/2003 00:00,75.1,73.3,76.1,47.0
16/05/2003 00:00,27.0,20.9,18.0,19.5
16/06/2003 00:00,2.7,0.9,0.6,2.8
16/07/2003 00:00,6.6,5.7,1.4,0.4
16/08/2003 00:00,36.5,21.5,28.3,24.0
16/09/2003 00:00,50.7,23.5,27.3,25.6
16/10/2003 00:00,34.1,51.4,24.0,13.9
16/11/2003 00:00,74.8,51.7,53.2,30.6
16/12/2003 00:00,129.1,128.8,104.3,68.9
16/01/2004 00:00,42.3,61.4,59.9,49.7
16/02/2004 00:00,124.6,137.5,131.1,102.2
16/03/2004 00:00,65.4,106.7,105.3,82.0
16/04/2004 00:00,30.1,55.1,24.5,19.4
16/05/2004 00:00,31.3,16.5,22.9,16.0
16/06/2004 00:00,29.0,18.3,18.5,17.1
16/07/2004 00:00,21.9,9.7,11.7,19.9
16/08/2004 00:00,13.8,12.7,12.5,12.1
16/09/2004 00:00,56.5,49.7,36.7,33.8
16/10/2004 00:00,83.7,59.6,60.6,41.3
16/11/2004 00:00,96.9,65.9,74.3,52.2
16/12/2004 00:00,142.5,173.6,115.7,126.7
16/01/2005 00:00,88.7,82.5,73.4,55.4
16/02/2005 00:00,110.0,107.0,86.6,65.2
16/03/2005 00:00,100.6,94.3,73.9,75.1
16/04/2005 00:00,60.5,29.5,30.9,14.7
16/05/2005 00:00,22.5,8.5,11.0,1.0
16/06/2005 00:00,3.8,1.6,0.7,0.0
16/07/2005 00:00,1.5,2.1,4.8,5.7
16/08/2005 00:00,20.8,4.1,8.2,2.5
16/09/2005 00:00,29.3,28.0,15.7,15.0
16/10/2005 00:00,76.3,56.4,74.6,41.3
16/11/2005 00:00,31.4,38.2,46.4,27.6
16/12/2005 00:00,100.8,122.0,100.0,73.3
16/01/2006 00:00,134.1,143.7,136.3,101.5
16/02/2006 00:00,112.6,130.6,86.5,70.6
16/03/2006 00:00,138.7,154.4,102.4,92.2
