N;CODIGO_PAIS;CODIGO_ENTIDAD;PROGRAMA;CODIGO_SNIP;CODIGO_UNIFICADO;NOMBRE;UNIDAD_EJECUTORA;DEPARTAMENTO;PROVINCIA;DISTRITO;POBLACION_BENEFICIADA_SSP;MONTO_ACTUALIZADO _PIP;MODALIDAD_FINANCIAMIENTO;TIPO_EJECUCION;ETAPA_INVERSION;ESTADO;;;;;;;;;
35;PE;11510;PNSU;49630;2064373;CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO Y TRATAMIENTO DE AGUAS SERVIDAS LOCALIDAD DE CHONTAPAMPA, DISTRITO DE QUINJALCA - CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD DISTRITAL DE DE QUINJALCA;AMAZONAS;CHACHAPOYAS;QUINJALCA;360;212,787.00;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
36;PE;11511;PNSU;51916;2047434;AMPLIACION, MEJORAMIENTO AGUA POTABLE Y ALCANTARILLADO PIPUS, DISTRITO DE SAN FRANCISCO DE DAGUAS - CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD DISTRITAL DE SAN FRANSISCO DE DAGUAS;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;283;334,479.00;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
37;PE;11512;PNSU;29820;2125480;MEJORAMIENTO Y AMPLIACION DEL SISTEMA AGUA POTABLE Y AMPLIACION DE ALCANTARILLADO DE LA LOCALIDAD DE MAYNO;MUNICIPALIDAD DISTRITAL DE SAN ISIDRO DE MAYNO;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;549;1,035,737.00;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
38;PE;11513;PNSU;45431;2046288;MEJORAMIENTO DEL SISTEMA INTEGRAL DE AGUA POTABLE Y CONSTRUCCIÓN DEL ALCANTARILLADO DE LA VILLA SANTA MARIA DE NIEVA - DISTRITO DE NIEVA, PROVINCIA DE CONDORCANQUI - AMAZONAS;MUNICIPALIDAD PROVINCIAL DE CONDORCANQUI;AMAZONAS;CONDORCANQUI;NIEVA;3341;10,207,135.47;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
39;PE;11514;PNSU;109507;2098821;CONSTRUCCION DE UN NUEVO SISTEMA DE AGUA POTABLE E INSTALACION DEL SANEAMIENTO BÁSICO DE LA CC. NN. DE KIGKIS, DEL DISTRITO DE NIEVA, PROVINCIA DE CONDORCANQUI - AMAZONAS;MUNICIPALIDAD PROVINCIAL DE CONDORCANQUI;AMAZONAS;CONDORCANQUI;NIEVA;715;2,703,097.39;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
40;PE;11515;PNSU;70705;2069121;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y CONSTRUCCIÓN DEL SANEAMIENTO BASICO DE LAS LOCALIDADES DE GALILEA, LA POZA, TIERRA ROJA Y SHIRINGA– DISTRITO DE RÍO SANTIAGO, PROVINCIA DE CONDORCANQUI - AMAZONAS;MUNICIPALIDAD PROVINCIAL DE CONDORCANQUI;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;1291;4,592,577.32;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
41;PE;11516;PNSU;32595;2038460;REHABILITACION, MEJORAMIENTO, AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE CAMPORRDONDO - LUYA -AMAZONAS, DISTRITO DE CAMPORREDONDO - LUYA - AMAZONAS;MUNICIPALIDAD DISTRITAL DE CAMPOREDONDO;AMAZONAS;LUYA;CAMPORREDONDO;2366;1,275,265.00;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
42;PE;11517;PNSU;22450;2061080;MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y SISTEMAS DE SANEAMIENTO DE LAS LOCALIDADES DE CONILA - COHECHAN - LUYA;GOBIERNO REGIONAL AMAZONAS;AMAZONAS;LUYA;CONILA;1837;908,166.00;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
43;PE;11518;PNSU;199535;2156741;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y DEL SISTEMA DE ALCANTARILLADO DE LA LOCALIDAD DE LAMUD Y ANEXOS, PROVINCIA DE LUYA - AMAZONAS;MUNICIPALIDAD PROVINCIAL DE LUYA;AMAZONAS;LUYA;LAMUD;3789;6,744,365.18;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
44;PE;11519;PNSU;4665;2026833;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO LUYA - LAMUD;GOBIERNO REGIONAL AMAZONAS;AMAZONAS;LUYA;LAMUD;5225;3,762,609.00;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
45;PE;11520;PNSU;55889;2054469;MEJORAMIENTO, AMPLIACION DEL SISTEMA DE AGUA POTABLE Y DESAGUE DE LUYA, DISTRITO DE LUYA - LUYA - AMAZONAS;MUNICIPALIDAD DISTRITAL DE LUYA;AMAZONAS;LUYA;LUYA;4902;8,837,326.81;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
46;PE;11521;PNSU;60164;2065878;CONSTRUCCION DEL ALCANTARILLADO Y LETRINIZACION DE LUYA VIEJO, DISTRITO DE LUYA VIEJO - LUYA - AMAZONAS;MUNICIPALIDAD DISTRITAL DE DE LUYA VIEJO;AMAZONAS;LUYA;LUYA VIEJO;445;399,445.00;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
47;PE;11522;PNSU;37335;2037563;MEJORAMIENTO SISTEMA INTEGRAL DE AGUA POTABLE Y ALCANTARILLADO ANEXO DE QUIZANGO, DISTRITO DE MARIA - LUYA - AMAZONAS;MUNICIPALIDAD DISTRITAL DE MARIA;AMAZONAS;LUYA;MARIA;594;440,894.00;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
48;PE;11523;PNSU;18116;2024952;INSTALACION DEL SISTEMA DE ALCANTARILLADO Y TRATAMIENTO DE LAS AGUAS SERVIDAS EN EL CENTRO POBLADO MENOR QUISPE, DISTRITO DE OCALLI.;MUNICIPALIDAD DISTRITAL DE OCALLI;AMAZONAS;LUYA;OCALLI;2027;516,298.00;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
49;PE;11524;PNSU;8780;2030276;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE ALCANTARILLADO DE LA LOCALIDAD DE OCALLI - LUYA;GOBIERNO REGIONAL AMAZONAS;AMAZONAS;LUYA;OCALLI;1175;960,934.00;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
50;PE;11525;PNSU;179409;2142489;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y DISPOSICIÓN FINAL DE EXCRETAS EN LA LOCALIDAD DE SAN CRISTÓBAL DEL YESO, DISTRITO DE SAN FRANCISCO DEL YESO - LUYA - AMAZONAS;MUNICIPALIDAD DISTRITAL DE SAN FRANCISCO DEL YESO;AMAZONAS;LUYA;SAN FRANCISCO DEL YESO;304;652,287.20;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
51;PE;11526;PNSU;177416;2135421;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL SECTOR ALTO DE LA LOCALIDAD DE SAN FRANCISCO DEL YESO , DISTRITO DE SAN FRANCISCO DEL YESO - LUYA - AMAZONAS;MUNICIPALIDAD DISTRITAL DE SAN FRANCISCO DEL YESO;AMAZONAS;LUYA;SAN FRANCISCO DEL YESO;382;605,535.81;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
52;PE;11527;PNSU;162828;2118044;AMPLIACION DEL SISTEMA DE ALCANTARILLADO DEL ANEXO PUENTE SANTO TOMAS ., DISTRITO DE SANTO TOMAS - LUYA - AMAZONAS;MUNICIPALIDAD DISTRITAL DE SANTO TOMAS;AMAZONAS;LUYA;SANTO TOMAS;350;269,792.80;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
53;PE;11528;PNSU;55698;2058716;AMPLIACION, MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE SAN MARCOS, PROVINCIA DE RODRIGUEZ DE MENDOZA - AMAZONAS;MUNICIPALIDAD PROVINCIAL DE RODRIGUEZ DE MENDOZA;AMAZONAS;RODRIGUEZ DE MENDOZA;COCHAMAL;672;830,046.00;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
